11 февраля 1927 года, процент освещенности луны 74%, 7по лунному календарю идет 9, 10 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Близнецы
12 февраля 1927 года, процент освещенности луны 83%, по лунному календарю идет 10, 11 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Близнецы и Рак
13 февраля 1927 года, процент освещенности луны 90%, по лунному календарю идет 11, 12 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Рак
14 февраля 1927 года, процент освещенности луны 95%, по лунному календарю идет 12, 13 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Рак и Лев
15 февраля 1927 года, процент освещенности луны 98%, по лунному календарю идет 13, 14 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Лев
16 февраля 1927 года, процент освещенности луны 100%, по лунному календарю идет 14, 15 лунный день, Полнолуние в 18:17, Луна находится в знаке зодиака Лев
17 февраля 1927 года, процент освещенности луны 100%, по лунному календарю идет 15, 16 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Лев и Дева
18 февраля 1927 года, процент освещенности луны 97%, по лунному календарю идет 16, 17 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Дева
19 февраля 1927 года, процент освещенности луны 94%, по лунному календарю идет 17, 18 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Дева и Весы
20 февраля 1927 года, процент освещенности луны 88%, по лунному календарю идет 18, 19 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Весы
21 февраля 1927 года, процент освещенности луны 81%, по лунному календарю идет 19, 20 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Весы
22 февраля 1927 года, процент освещенности луны 74%, 7по лунному календарю идет 20, 21 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Весы и Скорпион
23 февраля 1927 года, процент освещенности луны 65%, по лунному календарю идет 20, 21, 22 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Скорпион
24 февраля 1927 года, процент освещенности луны 55%, по лунному календарю идет 21, 22 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Скорпион и Стрелец
25 февраля 1927 года, процент освещенности луны 45%, по лунному календарю идет 22, 23 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Стрелец
26 февраля 1927 года, процент освещенности луны 35%, по лунному календарю идет 23, 24 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Стрелец и Козерог
27 февраля 1927 года, процент освещенности луны 25%, по лунному календарю идет 24, 25 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Козерог
28 февраля 1927 года, процент освещенности луны 16%, по лунному календарю идет 25, 26 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Козерог
1 марта 1927 года, процент освещенности луны 8%, по лунному календарю идет 26, 27 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Козерог и Водолей
2 марта 1927 года, процент освещенности луны 3%, по лунному календарю идет 27, 28 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Водолей
3 марта 1927 года, процент освещенности луны 0%, по лунному календарю идет 28, 29, 1 лунный день, Новолуние в 21:23, Луна находится в знаке зодиака Водолей и Рыбы
4 марта 1927 года, процент освещенности луны 1%, по лунному календарю идет 1, 2 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рыбы
5 марта 1927 года, процент освещенности луны 4%, по лунному календарю идет 2, 3 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рыбы и Овен
6 марта 1927 года, процент освещенности луны 10%, по лунному календарю идет 3, 4 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Овен
7 марта 1927 года, процент освещенности луны 18%, по лунному календарю идет 4, 5 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Овен и Телец
8 марта 1927 года, процент освещенности луны 28%, по лунному календарю идет 5, 6 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Телец
9 марта 1927 года, процент освещенности луны 38%, по лунному календарю идет 6, 7 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Телец и Близнецы
10 марта 1927 года, процент освещенности луны 49%, по лунному календарю идет 7, 8 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Близнецы
11 марта 1927 года, процент освещенности луны 60%, по лунному календарю идет 8, 9 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Близнецы и Рак
12 марта 1927 года, процент освещенности луны 69%, по лунному календарю идет 9, 10 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Рак
13 марта 1927 года, процент освещенности луны 78%, по лунному календарю идет 10, 11 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Рак и Лев
14 марта 1927 года, процент освещенности луны 86%, по лунному календарю идет 11, 12 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Лев
15 марта 1927 года, процент освещенности луны 92%, по лунному календарю идет 12, 13 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Лев
16 марта 1927 года, процент освещенности луны 96%, по лунному календарю идет 13, 14 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Лев и Дева
17 марта 1927 года, процент освещенности луны 99%, по лунному календарю идет 14, 15 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Дева
18 марта 1927 года, процент освещенности луны 100%, по лунному календарю идет 15, 16 лунный день, Полнолуние в 12:23, Луна находится в знаке зодиака Дева и Весы
19 марта 1927 года, процент освещенности луны 99%, по лунному календарю идет 16, 17 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Весы
20 марта 1927 года, процент освещенности луны 97%, по лунному календарю идет 17, 18 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Весы
21 марта 1927 года, процент освещенности луны 92%, по лунному календарю идет 18, 19 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Весы и Скорпион
22 марта 1927 года, процент освещенности луны 87%, по лунному календарю идет 19, 20 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Скорпион
23 марта 1927 года, процент освещенности луны 80%, по лунному календарю идет 20, 21 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Скорпион и Стрелец
24 марта 1927 года, процент освещенности луны 71%, по лунному календарю идет 20, 21, 22 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Стрелец
25 марта 1927 года, процент освещенности луны 62%, по лунному календарю идет 21, 22 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Стрелец
26 марта 1927 года, процент освещенности луны 51%, по лунному календарю идет 22, 23 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Стрелец и Козерог
27 марта 1927 года, процент освещенности луны 41%, по лунному календарю идет 23, 24 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Козерог
28 марта 1927 года, процент освещенности луны 30%, по лунному календарю идет 24, 25 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Козерог и Водолей
29 марта 1927 года, процент освещенности луны 20%, по лунному календарю идет 25, 26 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Водолей
30 марта 1927 года, процент освещенности луны 11%, по лунному календарю идет 26, 27 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Водолей и Рыбы
31 марта 1927 года, процент освещенности луны 5%, по лунному календарю идет 27, 28 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Рыбы
1 апреля 1927 года, процент освещенности луны 1%, по лунному календарю идет 28, 29 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Рыбы и Овен
2 апреля 1927 года, процент освещенности луны 0%, по лунному календарю идет 29, 1, 2 лунный день, Новолуние в 6:23, Луна находится в знаке зодиака Овен
3 апреля 1927 года, процент освещенности луны 2%, , по лунному календарю идет 2, 3 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Овен и Телец
4 апреля 1927 года, процент освещенности луны 7%, по лунному календарю идет 3, 4 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Телец
5 апреля 1927 года, процент освещенности луны 14%, по лунному календарю идет 4, 5 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Телец и Близнецы
6 апреля 1927 года, процент освещенности луны 23%, по лунному календарю идет 5, 6 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Близнецы
7 апреля 1927 года, процент освещенности луны 33%, по лунному календарю идет 6, 7 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Близнецы и Рак
8 апреля 1927 года, процент освещенности луны 44%, по лунному календарю идет 7, 8 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рак
9 апреля 1927 года, процент освещенности луны 54%, по лунному календарю идет 8, 9 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рак
10 апреля 1927 года, процент освещенности луны 64%, по лунному календарю идет 9, 10 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Рак и Лев
11 апреля 1927 года, процент освещенности луны 73%, по лунному календарю идет 10, 11 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Лев
12 апреля 1927 года, процент освещенности луны 81%, по лунному календарю идет 11, 12 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Лев и Дева
13 апреля 1927 года, процент освещенности луны 88%, по лунному календарю идет 12, 13 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Дева
14 апреля 1927 года, процент освещенности луны 93%, по лунному календарю идет 13, 14 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Дева
15 апреля 1927 года, процент освещенности луны 97%, по лунному календарю идет 14, 15 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Дева и Весы
16 апреля 1927 года, процент освещенности луны 99%, по лунному календарю идет 15, 16 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Весы
17 апреля 1927 года, процент освещенности луны 100%, по лунному календарю идет 16, 17 лунный день, Полнолуние в 5:34, Луна находится в знаке зодиака Весы и Скорпион
18 апреля 1927 года, процент освещенности луны 99%, по лунному календарю идет 17, 18 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Скорпион
19 апреля 1927 года, процент освещенности луны 96%, по лунному календарю идет 18, 19 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Скорпион
20 апреля 1927 года, процент освещенности луны 91%, по лунному календарю идет 19, 20 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Скорпион и Стрелец
21 апреля 1927 года, процент освещенности луны 84%, по лунному календарю идет 20, 21 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Стрелец
